29.0,13.0,38.0,3.0,0.3256,0.4474,71.0,5.0,1.0,3.309,1.162,9.397
34.0,12.0,40.0,6.0,0.3603,0.4731,63.0,6.0,5.0,3.068,1.023,7.732
50.0,18.0,36.0,3.0,0.3397,0.5144,50.0,2.0,0.0,4.333,1.204,8.333
45.0,9.0,39.0,5.0,0.3242,0.4515,83.0,8.0,2.0,3.054,1.208,10.14
35.0,6.0,23.0,11.0,0.3412,0.4318,66.0,5.0,6.0,4.655,1.256,8.778
39.0,15.0,50.0,2.0,0.35,0.5131,53.0,6.0,0.0,2.714,1.206,7.571
48.0,9.0,30.0,3.0,0.3271,0.4007,76.0,5.0,4.0,4.817,1.183,9.634
39.0,18.0,46.0,10.0,0.3908,0.6008,69.0,5.0,4.0,3.24,1.32,9.315
49.0,19.0,50.0,4.0,0.405,0.6612,49.0,1.0,3.0,3.942,1.161,9.657
42.0,13.0,47.0,5.0,0.3711,0.49,55.0,3.0,5.0,2.732,1.196,8.839
43.0,14.0,43.0,7.0,0.3583,0.5148,59.0,2.0,2.0,5.072,1.74,8.801
49.0,15.0,56.0,8.0,0.3705,0.5438,55.0,3.0,7.0,5.05,1.317,10.683
6.0,3.0,7.0,0.0,9.0,5.0,10.0,1.0,8.0,2.0,11.0,4.0
